Time,Competitor,Operation,OrderId,Side,Volume,Price,Lifespan,Fee,FuturePrice,EtfPrice,AccountBalance,FuturePosition,EtfPosition,ProfitLoss,TotalFees,MaxDrawdown,BuyVolume,SellVolume
1.250000,ExampleOne,Fill,6,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3417.78,3,-4,-3.22,2.72,5.54,0,4
1.250000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,8.28,4,-4,-3.72,2.72,5.54,0,4
1.250000,ExampleTwo,Cancel,5,B,-1,3411.00,GFD,0.00,3409.00,3412.00,7.46,3,-3,-1.54,2.04,2.36,0,3
1.266000,ExampleTwo,Insert,7,B,1,3412.00,GFD,0.00,3409.00,3412.00,7.46,3,-3,-1.54,2.04,2.36,0,3
1.266000,ExampleTwo,Insert,8,S,1,3413.00,GFD,0.00,3409.00,3412.00,7.46,3,-3,-1.54,2.04,2.36,0,3
1.385473,ExampleTwo,Fill,8,S,-1,3413.00,GFD,-0.34,3409.00,3413.00,3420.80,3,-4,-4.20,1.70,4.20,0,4
1.385473,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3409.00,3413.00,11.30,4,-4,-4.70,1.70,4.70,0,4
1.500000,ExampleOne,Tick,,,,,,0.00,3409.00,3413.00,8.28,4,-4,-7.72,2.72,7.72,0,4
1.500000,TraderOne,Tick,,,,,,0.00,3409.00,3413.00,0.00,0,0,0.00,0.00,0.00,0,0
1.500000,ExampleTwo,Tick,,,,,,0.00,3409.00,3413.00,11.30,4,-4,-4.70,1.70,4.70,0,4
1.500000,ExampleOne,Insert,7,S,1,3410.00,GFD,0.00,3409.00,3413.00,8.28,4,-4,-7.72,2.72,7.72,0,4
1.500000,ExampleOne,Fill,7,S,-1,3414.00,GFD,0.68,3409.00,3414.00,3421.60,4,-5,-12.40,3.40,12.40,0,5
1.500000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3414.00,12.10,5,-5,-12.90,3.40,12.90,0,5
1.516000,ExampleTwo,Cancel,7,B,-1,3412.00,GFD,0.00,3409.00,3414.00,11.30,4,-4,-4.70,1.70,4.70,0,4
1.516000,ExampleTwo,Insert,9,B,1,3413.00,GFD,0.00,3409.00,3414.00,11.30,4,-4,-4.70,1.70,4.70,0,4
1.516000,ExampleTwo,Insert,10,S,1,3414.00,GFD,0.00,3409.00,3414.00,11.30,4,-4,-4.70,1.70,4.70,0,4
1.516000,ExampleTwo,Fill,10,S,-1,3414.00,GFD,0.68,3409.00,3414.00,3424.62,4,-5,-9.38,2.38,9.38,0,5
1.516000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3409.00,3414.00,15.12,5,-5,-9.88,2.38,9.88,0,5
1.672179,ExampleTwo,Fill,9,B,-1,3413.00,GFD,-0.34,3409.00,3413.00,-3397.54,5,-4,-4.54,2.04,9.88,1,5
1.672179,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3409.00,3413.00,11.96,4,-4,-4.04,2.04,9.88,1,5
1.750000,ExampleOne,Tick,,,,,,0.00,3409.00,3415.00,12.10,5,-5,-17.90,3.40,17.90,0,5
1.750000,TraderOne,Tick,,,,,,0.00,3409.00,3415.00,0.00,0,0,0.00,0.00,0.00,0,0
1.750000,ExampleTwo,Tick,,,,,,0.00,3409.00,3415.00,11.96,4,-4,-12.04,2.04,12.04,1,5
1.766000,ExampleOne,Insert,8,S,1,3410.00,GFD,0.00,3409.00,3415.00,12.10,5,-5,-17.90,3.40,17.90,0,5
1.766000,ExampleOne,Fill,8,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3423.42,5,-6,-3.58,4.08,17.90,0,6
1.766000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,13.92,6,-6,-4.08,4.08,17.90,0,6
1.766000,ExampleTwo,Insert,11,B,1,3413.00,GFD,0.00,3409.00,3412.00,11.96,4,-4,-12.04,2.04,12.04,1,5
1.766000,ExampleTwo,Insert,12,S,1,3414.00,GFD,0.00,3409.00,3412.00,11.96,4,-4,-12.04,2.04,12.04,1,5
1.844495,ExampleTwo,Fill,11,B,-1,3413.00,GFD,-0.34,3410.00,3413.00,-3400.70,4,-3,0.30,1.70,12.04,2,5
1.844495,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3410.00,3413.00,8.80,3,-3,-0.20,1.70,12.04,2,5
2.000000,ExampleOne,Tick,,,,,,0.00,3410.00,3412.00,13.92,6,-6,1.92,4.08,17.90,0,6
2.000000,TraderOne,Tick,,,,,,0.00,3410.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
2.000000,ExampleTwo,Tick,,,,,,0.00,3410.00,3412.00,8.80,3,-3,2.80,1.70,12.04,2,5
2.016000,ExampleOne,Insert,9,S,1,3410.00,GFD,0.00,3410.00,3412.00,13.92,6,-6,1.92,4.08,17.90,0,6
2.016000,ExampleOne,Fill,9,S,-1,3412.00,GFD,0.68,3410.00,3412.00,3425.24,6,-7,1.24,4.76,17.90,0,7
2.016000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3412.00,15.74,7,-7,1.74,4.76,17.90,0,7
2.016000,ExampleTwo,Cancel,12,S,-1,3414.00,GFD,0.00,3410.00,3412.00,8.80,3,-3,2.80,1.70,12.04,2,5
2.016000,ExampleTwo,Insert,13,B,1,3412.00,GFD,0.00,3410.00,3412.00,8.80,3,-3,2.80,1.70,12.04,2,5
2.016000,ExampleTwo,Insert,14,S,1,3413.00,GFD,0.00,3410.00,3412.00,8.80,3,-3,2.80,1.70,12.04,2,5
2.190568,ExampleTwo,Fill,13,B,-1,3412.00,GFD,-0.34,3410.00,3412.00,-3402.86,3,-2,3.14,1.36,12.04,3,5
2.190568,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3410.00,3412.00,6.64,2,-2,2.64,1.36,12.04,3,5
2.190568,ExampleOne,Fill,3,B,-1,3409.00,GFD,-0.34,3410.00,3409.00,-3392.92,7,-6,23.08,4.42,17.90,1,7
2.190568,ExampleOne,Hedge,,S,1,3409.50,,0.00,3410.00,3409.00,16.58,6,-6,22.58,4.42,17.90,1,7
2.227025,ExampleTwo,Fill,14,S,-1,3413.00,GFD,-0.34,3410.00,3413.00,3419.98,2,-3,0.98,1.02,12.04,3,6
2.227025,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,10.48,3,-3,1.48,1.02,12.04,3,6
2.250000,ExampleOne,Tick,,,,,,0.00,3410.00,3413.00,16.58,6,-6,-1.42,4.42,24.50,1,7
2.250000,TraderOne,Tick,,,,,,0.00,3410.00,3413.00,0.00,0,0,0.00,0.00,0.00,0,0
2.250000,ExampleTwo,Tick,,,,,,0.00,3410.00,3413.00,10.48,3,-3,1.48,1.02,12.04,3,6
2.266000,ExampleOne,Insert,10,B,1,3409.00,GFD,0.00,3410.00,3413.00,16.58,6,-6,-1.42,4.42,24.50,1,7
2.266000,ExampleOne,Insert,11,S,1,3410.00,GFD,0.00,3410.00,3413.00,16.58,6,-6,-1.42,4.42,24.50,1,7
2.266000,ExampleOne,Fill,11,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3428.90,6,-7,-2.10,5.10,25.18,1,8
2.266000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,19.40,7,-7,-1.60,5.10,25.18,1,8
2.281000,ExampleTwo,Insert,15,B,1,3412.00,GFD,0.00,3410.00,3413.00,10.48,3,-3,1.48,1.02,12.04,3,6
2.281000,ExampleTwo,Insert,16,S,1,3413.00,GFD,0.00,3410.00,3413.00,10.48,3,-3,1.48,1.02,12.04,3,6
2.281000,ExampleTwo,Fill,16,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3422.80,3,-4,0.80,1.70,12.04,3,7
2.281000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,13.30,4,-4,1.30,1.70,12.04,3,7
2.500000,ExampleOne,Tick,,,,,,0.00,3410.00,3414.00,19.40,7,-7,-8.60,5.10,31.68,1,8
2.500000,TraderOne,Tick,,,,,,0.00,3410.00,3414.00,0.00,0,0,0.00,0.00,0.00,0,0
2.500000,ExampleTwo,Tick,,,,,,0.00,3410.00,3414.00,13.30,4,-4,-2.70,1.70,12.04,3,7
2.500000,ExampleOne,Insert,12,S,1,3410.00,GFD,0.00,3410.00,3414.00,19.40,7,-7,-8.60,5.10,31.68,1,8
2.500000,ExampleOne,Fill,12,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3431.72,7,-8,-2.28,5.78,31.68,1,9
2.500000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,22.22,8,-8,-1.78,5.78,31.68,1,9
2.516000,ExampleTwo,Cancel,15,B,-1,3412.00,GFD,0.00,3410.00,3413.00,13.30,4,-4,-2.70,1.70,12.04,3,7
2.516000,ExampleTwo,Insert,17,B,1,3413.00,GFD,0.00,3410.00,3413.00,13.30,4,-4,-2.70,1.70,12.04,3,7
2.516000,ExampleTwo,Insert,18,S,1,3414.00,GFD,0.00,3410.00,3413.00,13.30,4,-4,-2.70,1.70,12.04,3,7
2.750000,ExampleOne,Tick,,,,,,0.00,3410.00,3413.00,22.22,8,-8,-1.78,5.78,31.68,1,9
2.750000,TraderOne,Tick,,,,,,0.00,3410.00,3413.00,0.00,0,0,0.00,0.00,0.00,0,0
2.750000,ExampleTwo,Tick,,,,,,0.00,3410.00,3413.00,13.30,4,-4,1.30,1.70,12.04,3,7
2.750000,ExampleOne,Insert,13,S,1,3410.00,GFD,0.00,3410.00,3413.00,22.22,8,-8,-1.78,5.78,31.68,1,9
2.750000,ExampleOne,Fill,13,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3434.54,8,-9,-2.46,6.46,31.68,1,10
2.750000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,25.04,9,-9,-1.96,6.46,31.68,1,10
2.768388,ExampleTwo,Fill,17,B,-1,3413.00,GFD,-0.34,3410.00,3413.00,-3399.36,4,-3,1.64,1.36,12.04,4,7
2.768388,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3410.00,3413.00,10.14,3,-3,1.14,1.36,12.04,4,7
3.000000,ExampleOne,Tick,,,,,,0.00,3410.00,3412.00,25.04,9,-9,7.04,6.46,31.68,1,10
3.000000,TraderOne,Tick,,,,,,0.00,3410.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
3.000000,ExampleTwo,Tick,,,,,,0.00,3410.00,3412.00,10.14,3,-3,4.14,1.36,12.04,4,7
3.016000,ExampleOne,Insert,14,S,1,3410.00,GFD,0.00,3410.00,3412.00,25.04,9,-9,7.04,6.46,31.68,1,10
3.016000,ExampleOne,Fill,14,S,-1,3412.00,GFD,0.68,3410.00,3412.00,3436.36,9,-10,6.36,7.14,31.68,1,11
3.016000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3412.00,26.86,10,-10,6.86,7.14,31.68,1,11
3.016000,ExampleTwo,Cancel,18,S,-1,3414.00,GFD,0.00,3410.00,3412.00,10.14,3,-3,4.14,1.36,12.04,4,7
3.016000,ExampleTwo,Insert,19,B,1,3412.00,GFD,0.00,3410.00,3412.00,10.14,3,-3,4.14,1.36,12.04,4,7
3.016000,ExampleTwo,Insert,20,S,1,3413.00,GFD,0.00,3410.00,3412.00,10.14,3,-3,4.14,1.36,12.04,4,7
3.219509,ExampleTwo,Fill,19,B,-1,3412.00,GFD,-0.34,3410.00,3412.00,-3401.52,3,-2,4.48,1.02,12.04,5,7
3.219509,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3410.00,3412.00,7.98,2,-2,3.98,1.02,12.04,5,7
3.250000,ExampleOne,Tick,,,,,,0.00,3410.00,3410.00,26.86,10,-10,26.86,7.14,31.68,1,11
3.250000,TraderOne,Tick,,,,,,0.00,3410.00,3410.00,0.00,0,0,0.00,0.00,0.00,0,0
3.250000,ExampleTwo,Tick,,,,,,0.00,3410.00,3410.00,7.98,2,-2,7.98,1.02,12.04,5,7
3.250000,ExampleOne,Insert,15,S,1,3410.00,GFD,0.00,3410.00,3410.00,26.86,10,-10,26.86,7.14,31.68,1,11
3.250000,ExampleOne,Fill,15,S,-1,3410.00,GFD,0.68,3410.00,3410.00,3436.18,10,-11,26.18,7.82,31.68,1,12
3.250000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3410.00,26.68,11,-11,26.68,7.82,31.68,1,12
3.266000,ExampleTwo,Cancel,20,S,-1,3413.00,GFD,0.00,3410.00,3410.00,7.98,2,-2,7.98,1.02,12.04,5,7
3.266000,ExampleTwo,Insert,21,B,1,3411.00,GFD,0.00,3410.00,3410.00,7.98,2,-2,7.98,1.02,12.04,5,7
3.266000,ExampleTwo,Insert,22,S,1,3412.00,GFD,0.00,3410.00,3410.00,7.98,2,-2,7.98,1.02,12.04,5,7
3.274197,ExampleTwo,Fill,22,S,-1,3412.00,GFD,-0.34,3410.00,3412.00,3420.32,2,-3,4.32,0.68,12.04,5,8
3.274197,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3410.00,3412.00,10.82,3,-3,4.82,0.68,12.04,5,8
3.500000,ExampleOne,Tick,,,,,,0.00,3410.00,3413.00,26.68,11,-11,-6.32,7.82,33.18,1,12
3.500000,TraderOne,Tick,,,,,,0.00,3410.00,3413.00,0.00,0,0,0.00,0.00,0.00,0,0
3.500000,ExampleTwo,Tick,,,,,,0.00,3410.00,3413.00,10.82,3,-3,1.82,0.68,12.04,5,8
3.500000,ExampleOne,Insert,16,S,1,3410.00,GFD,0.00,3410.00,3413.00,26.68,11,-11,-6.32,7.82,33.18,1,12
3.500000,ExampleOne,Fill,16,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3439.00,11,-12,-7.00,8.50,33.86,1,13
3.500000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,29.50,12,-12,-6.50,8.50,33.86,1,13
3.500000,ExampleTwo,Cancel,21,B,-1,3411.00,GFD,0.00,3410.00,3413.00,10.82,3,-3,1.82,0.68,12.04,5,8
3.500000,ExampleTwo,Insert,23,B,1,3412.00,GFD,0.00,3410.00,3413.00,10.82,3,-3,1.82,0.68,12.04,5,8
3.500000,ExampleTwo,Insert,24,S,1,3413.00,GFD,0.00,3410.00,3413.00,10.82,3,-3,1.82,0.68,12.04,5,8
3.500000,ExampleTwo,Fill,24,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3423.14,3,-4,1.14,1.36,12.04,5,9
3.500000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,13.64,4,-4,1.64,1.36,12.04,5,9
3.750000,ExampleOne,Tick,,,,,,0.00,3410.00,3413.00,29.50,12,-12,-6.50,8.50,33.86,1,13
3.750000,TraderOne,Tick,,,,,,0.00,3410.00,3413.00,0.00,0,0,0.00,0.00,0.00,0,0
3.750000,ExampleTwo,Tick,,,,,,0.00,3410.00,3413.00,13.64,4,-4,1.64,1.36,12.04,5,9
3.750000,ExampleOne,Insert,17,S,1,3410.00,GFD,0.00,3410.00,3413.00,29.50,12,-12,-6.50,8.50,33.86,1,13
3.750000,ExampleOne,Fill,17,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3441.82,12,-13,-7.18,9.18,34.04,1,14
3.750000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,32.32,13,-13,-6.68,9.18,34.04,1,14
3.750000,ExampleTwo,Cancel,23,B,-1,3412.00,GFD,0.00,3410.00,3413.00,13.64,4,-4,1.64,1.36,12.04,5,9
3.750000,ExampleTwo,Insert,25,B,1,3413.00,GFD,0.00,3410.00,3413.00,13.64,4,-4,1.64,1.36,12.04,5,9
3.750000,ExampleTwo,Insert,26,S,1,3414.00,GFD,0.00,3410.00,3413.00,13.64,4,-4,1.64,1.36,12.04,5,9
4.000000,ExampleOne,Tick,,,,,,0.00,3410.00,3413.00,32.32,13,-13,-6.68,9.18,34.04,1,14
4.000000,TraderOne,Tick,,,,,,0.00,3410.00,3413.00,0.00,0,0,0.00,0.00,0.00,0,0
4.000000,ExampleTwo,Tick,,,,,,0.00,3410.00,3413.00,13.64,4,-4,1.64,1.36,12.04,5,9
4.016000,ExampleOne,Insert,18,S,1,3410.00,GFD,0.00,3410.00,3413.00,32.32,13,-13,-6.68,9.18,34.04,1,14
4.016000,ExampleOne,Fill,18,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3444.64,13,-14,-7.36,9.86,34.22,1,15
4.016000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,35.14,14,-14,-6.86,9.86,34.22,1,15
4.041405,ExampleTwo,Fill,25,B,-1,3413.00,GFD,-0.34,3410.00,3413.00,-3399.02,4,-3,1.98,1.02,12.04,6,9
4.041405,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3410.00,3413.00,10.48,3,-3,1.48,1.02,12.04,6,9
4.250000,ExampleOne,Tick,,,,,,0.00,3410.00,3412.00,35.14,14,-14,7.14,9.86,34.22,1,15
4.250000,TraderOne,Tick,,,,,,0.00,3410.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
4.250000,ExampleTwo,Tick,,,,,,0.00,3410.00,3412.00,10.48,3,-3,4.48,1.02,12.04,6,9
4.250000,ExampleOne,Insert,19,S,1,3410.00,GFD,0.00,3410.00,3412.00,35.14,14,-14,7.14,9.86,34.22,1,15
4.250000,ExampleOne,Fill,19,S,-1,3412.00,GFD,0.68,3410.00,3412.00,3446.46,14,-15,6.46,10.54,34.22,1,16
4.250000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3412.00,36.96,15,-15,6.96,10.54,34.22,1,16
4.250000,ExampleTwo,Cancel,26,S,-1,3414.00,GFD,0.00,3410.00,3412.00,10.48,3,-3,4.48,1.02,12.04,6,9
4.250000,ExampleTwo,Insert,27,B,1,3412.00,GFD,0.00,3410.00,3412.00,10.48,3,-3,4.48,1.02,12.04,6,9
4.250000,ExampleTwo,Insert,28,S,1,3413.00,GFD,0.00,3410.00,3412.00,10.48,3,-3,4.48,1.02,12.04,6,9
4.330421,ExampleTwo,Fill,28,S,-1,3413.00,GFD,-0.34,3410.00,3413.00,3423.82,3,-4,1.82,0.68,12.04,6,10
4.330421,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,14.32,4,-4,2.32,0.68,12.04,6,10
4.500000,ExampleOne,Tick,,,,,,0.00,3410.00,3414.00,36.96,15,-15,-23.04,10.54,49.90,1,16
4.500000,TraderOne,Tick,,,,,,0.00,3410.00,3414.00,0.00,0,0,0.00,0.00,0.00,0,0
4.500000,ExampleTwo,Tick,,,,,,0.00,3410.00,3414.00,14.32,4,-4,-1.68,0.68,12.04,6,10
4.516000,ExampleOne,Insert,20,S,1,3410.00,GFD,0.00,3410.00,3414.00,36.96,15,-15,-23.04,10.54,49.90,1,16
4.516000,ExampleOne,Fill,20,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3449.28,15,-16,-8.72,11.22,49.90,1,17
4.516000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,39.78,16,-16,-8.22,11.22,49.90,1,17
4.516000,ExampleTwo,Cancel,27,B,-1,3412.00,GFD,0.00,3410.00,3413.00,14.32,4,-4,-1.68,0.68,12.04,6,10
4.516000,ExampleTwo,Insert,29,B,1,3413.00,GFD,0.00,3410.00,3413.00,14.32,4,-4,-1.68,0.68,12.04,6,10
4.516000,ExampleTwo,Insert,30,S,1,3414.00,GFD,0.00,3410.00,3413.00,14.32,4,-4,-1.68,0.68,12.04,6,10
4.661776,ExampleTwo,Fill,30,S,-1,3414.00,GFD,-0.34,3410.00,3414.00,3428.66,4,-5,-1.34,0.34,12.04,6,11
4.661776,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3410.00,3414.00,19.16,5,-5,-0.84,0.34,12.04,6,11
4.750000,ExampleOne,Tick,,,,,,0.00,3410.00,3415.00,39.78,16,-16,-40.22,11.22,67.08,1,17
4.750000,TraderOne,Tick,,,,,,0.00,3410.00,3415.00,0.00,0,0,0.00,0.00,0.00,0,0
4.750000,ExampleTwo,Tick,,,,,,0.00,3410.00,3415.00,19.16,5,-5,-5.84,0.34,13.82,6,11
4.766000,ExampleOne,Insert,21,S,1,3410.00,GFD,0.00,3410.00,3415.00,39.78,16,-16,-40.22,11.22,67.08,1,17
4.766000,ExampleOne,Fill,21,S,-1,3413.00,GFD,0.68,3410.00,3413.00,3452.10,16,-17,-8.90,11.90,67.08,1,18
4.766000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3410.00,3413.00,42.60,17,-17,-8.40,11.90,67.08,1,18
4.766000,ExampleTwo,Cancel,29,B,-1,3413.00,GFD,0.00,3410.00,3413.00,19.16,5,-5,-5.84,0.34,13.82,6,11
4.766000,ExampleTwo,Insert,31,B,1,3414.00,GFD,0.00,3410.00,3413.00,19.16,5,-5,-5.84,0.34,13.82,6,11
4.766000,ExampleTwo,Insert,32,S,1,3415.00,GFD,0.00,3410.00,3413.00,19.16,5,-5,-5.84,0.34,13.82,6,11
4.932790,ExampleTwo,Fill,31,B,-1,3414.00,GFD,-0.34,3410.00,3414.00,-3394.50,5,-4,-0.50,0.00,13.82,7,11
4.932790,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3410.00,3414.00,15.00,4,-4,-1.00,0.00,13.82,7,11
5.000000,ExampleOne,Tick,,,,,,0.00,3410.00,3411.00,42.60,17,-17,25.60,11.90,67.08,1,18
5.000000,TraderOne,Tick,,,,,,0.00,3410.00,3411.00,0.00,0,0,0.00,0.00,0.00,0,0
5.000000,ExampleTwo,Tick,,,,,,0.00,3410.00,3411.00,15.00,4,-4,11.00,0.00,13.82,7,11
5.000000,ExampleOne,Insert,22,S,1,3410.00,GFD,0.00,3410.00,3411.00,42.60,17,-17,25.60,11.90,67.08,1,18
5.000000,ExampleOne,Fill,22,S,-1,3411.00,GFD,0.68,3410.00,3411.00,3452.92,17,-18,24.92,12.58,67.08,1,19
